creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Taylor Swift,Taylor Swift,Red,Album,2012,Loved,Teens,{Pop},https://open.spotify.com/album/1EoDsNmgTLtmwe1BDAVxV5?si=7UXR3R7EQo6Sco_6ayB_yg
Taylor Swift,Taylor Swift,1989,Album,2014,Loved,20s,{Pop},https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j?si=N1PXyVhFROCCpiYUuFnOJw
Theo Katzman,Theo Katzman,Heartbreak Hits,Album,2017,Loved,20s,{Rock},https://open.spotify.com/album/04QktcTXcS9qQTp7Q22Z3I?si=r8-u7OpYRJ2dtZMkXfo3Wg
Theo Katzman,Theo Katzman,My Heart Is Live in Berlin,Album,2019,Loved,20s,"{Rock},{Live}",https://open.spotify.com/album/3ZG1uBVhfvxpmYWn4GBOP8?si=rkzC_2a1R6aYu0iQtkSRgA
Theo Katzman,Theo Katzman,Modern Johnny Sings,Album,2020,Loved,20s,{Rock},https://open.spotify.com/album/5uV5cai6VPXvq9fmtvlRWn?si=0gWWuxS4Rh24uriBLflS9w
Theo Katzman,Theo Katzman,Romance Without Finance,Album,2011,Loved,20s,{Rock},https://open.spotify.com/album/5JmFPHMTXfItvlHOQi1Yyd?si=lhglGJCBSpKlFgr-Npm_LQ
Tom Misch,Tom Misch,Geography,Album,2018,Loved,20s,{R & B},https://open.spotify.com/album/28enuddLPEA914scE6Drvk?si=VROHAKSwTFmhjF2UlLSQLQ
Tommy Emmanuel,Tommy Emmanuel,Center Stage,Album,2008,Loved,Teens,"{Guitar},{Live}",https://open.spotify.com/album/5AUk0GEue5ON8pPIA8a7uF?si=HYDFmuqgTqm3NuOMr4IJqg
Tommy Emmanuel,Tommy Emmanuel,Endless Road,Album,2005,Loved,Teens,{Guitar},https://open.spotify.com/album/3jiBE7W0rwVucBUASlT0n5?si=2lMK5E4gR1iQ2xnv1hADYQ
Tommy Emmanuel,Tommy Emmanuel,The Mystery,Album,2006,Loved,Teens,{Guitar},https://open.spotify.com/album/3BBp2IUHdmFsn3uwAxh7Ur?si=4D7lUiubSPiwBIkrdt0xjg
Vampire Weekend,Vampire Weekend,Father of the Bride,Album,2019,Loved,20s,{Rock},https://open.spotify.com/album/5WWu3iYAXLgqghjU9696Nk?si=99n00kYRSOG5rRaAVA9nDQ
Vampire Weekend,Vampire Weekend,Modern Vampires of the City,Album,2013,Loved,20s,{Rock},https://open.spotify.com/album/2Qi2SySN2ePZwMLDSv9Krn?si=p_Bns7JJQNuRA9BAmfVtEQ
Van Morrison,Van Morrison,Avalon Sunset,Album,1989,Loved,Childhood,{Rock},https://open.spotify.com/album/2vE3SSFPxYt7jRu93j6rsi?si=mxrBRtUKTHOueoCTT3fkfw
Vince Guaraldi Trio,Vince Guaraldi Trio,A Charlie Brown Christmas,Album,1965,Loved,20s,"{Jazz},{Christmas}",https://open.spotify.com/album/7DuJYWu66RPdcekF5TuZ7w?si=27KwXh3nRfmiLnW5pY8JmQ
Vulfpeck,Vulfpeck,Thrill of the Arts,Album,2015,Loved,20s,{Funk},https://open.spotify.com/album/0LyGgFrZFXpRKpgj664Xu7?si=R3TiKZFcSkm7TLS1rRDaCw
Vulfpeck,Vulfpeck,The Beautiful Game,Album,2016,Loved,20s,{Funk},https://open.spotify.com/album/7sRNEe2FCkTYhrEimChdkC?si=-XJbDrxiRjKDziHp80seBw
Vulfpeck,Vulfpeck,Mr. Finish Line,Album,2017,Loved,20s,{Funk},https://open.spotify.com/album/631tfYWQsACU5Kmk8dpqli?si=axOdjtE6RW29JWAdngLaVQ
Vulfpeck,Vulfpeck,Hill Climber,Album,2018,Loved,20s,{Funk},https://open.spotify.com/album/2cZ4rjMOn8zz1ToKSBQVWa?si=U-M51c8NR1ypm2Z7EH6qPg
Washed Out,Washed Out,Paracosm,Album,2013,Loved,Teens,{Rock},https://open.spotify.com/album/72b7KBNzYH54BtZ5FBSFqi?si=mxK36G6jQYOQz_T3GwbK8Q
Wax,Wax,The Cookout Chronicles,Album,2016,Loved,20s,{Rap},https://open.spotify.com/album/3lumObxzH6YVhxwOsgKXTF?si=l4MEUSmSQoaINGosH4rANA
Wax,Wax,Scrublife,Album,2011,Loved,Teens,{Rap},https://open.spotify.com/album/7ovHfGslKaw6jb9GRVkVMo?si=cQwWsaczSt-iZTE1HdoOww
Wax,Wax,Eviction Notice,Album,2011,Loved,Teens,{Rap},https://open.spotify.com/album/7ovHfGslKaw6jb9GRVkVMo?si=Fsn5lmpGQiKUky_jovEhJA
Whitney,Whitney,Light Upon the Lake,Album,2016,Loved,20s,{Folk},https://open.spotify.com/album/5yMCA6HdFAeL1aqUjxO3MO?si=bNrn_4-9TIecYoINCg8PHQ
Woody Goss,Woody Goss,A Very Vulfy Christmas,Album,2019,Loved,20s,"{Jazz},{Christmas}",https://open.spotify.com/album/6pxAYPWQE13djRu0Gz0ET4?si=VUAWlAFBSpe6GANH4HvHOQ
