author_lastname,Author,Title,My Rating,Original Publication Year,Period of My Life,Main Genre,Subgenres
Nicholson,William Nicholson,The Wind on Fire Trilogy,liked,2002,childhood,Fiction,Fantasy
Nielsen,Michael Nielsen,Reinventing Discovery,loved,2011,20s,Non-fiction,"Philosophy, Science"
Oakley,Barbara Oakley,A Mind for Numbers,liked,2014,20s,Non-fiction,"Learning, Self-Help"
Olson,Randy Olson,"Houston, We Have a Narrative",liked,2015,20s,Non-fiction,"Writing, Self-Help, Science"
Oppel,Kenneth Oppel,Silverwing,liked,1997,childhood,Fiction,Literature
Orwell,George Orwell,Animal Farm,liked,1945,20s,Fiction,Literature
Orwell,George Orwell,1984,liked,1949,20s,Fiction,Literature
Palahniuk,Chuck Palahniuk,Fight Club,liked,1996,teens,Fiction,Literature
Paolini,Christopher Paolini,The Inheritance Cycle 1-3,liked,2002,teens,Fiction,Fantasy
Paulsen,Gary Paulsen,Brian's Saga 1-2,liked,1996,teens,Fiction,Literature
Pinker,Steven Pinker,How the Mind Works,loved,1997,20s,Non-fiction,"Psychology, Science"
Pinker,Steven Pinker,The Better Angels of Our Nature,liked,2010,20s,Non-fiction,History
Pinker,Steven Pinker,The Language Instinct,loved,1994,20s,Non-fiction,"Psychology, Science"
Pinker,Steven Pinker,The Sense of Style,loved,2014,20s,Non-fiction,"Writing, Self-Help"
Pullman,Philip Pullman,His Dark Materials,loved,2000,teens,Fiction,Fantasy
Ritchie,Stuart Ritchie,Intelligence,liked,2015,20s,Non-fiction,"Psychology, Science"
Robbins,Anthony Robbins,MONEY Master the Game,liked,2014,20s,Non-fiction,"Self-Help, Business"
Rowling,J.K. Rowling,Harry Potter 1-7,loved,2007,childhood,Fiction,Fantasy
Rushdie,Salman Rushdie,The Satanic Verses,liked,1988,teens,Fiction,Literature
Sachar,Louis Sachar,Holes,liked,1998,childhood,Fiction,Literature
Saint-Exupéry,Antoine de Saint-Exupéry,The Little Prince,liked,1943,teens,Fiction,Literature
Salinger,J.D. Salinger,The Catcher in the Rye,liked,1951,teens,Fiction,Literature
Sapolsky,Robert M. Sapolsky,Behave,disliked,2017,20s,Non-fiction,"Science, Psychology"
Schneier,Bruce Schneier,Data and Goliath,liked,2015,20s,Non-fiction,"Philosophy, Science, Computer Science & Programming"
Shakespeare,William Shakespeare,Hamlet,liked,1603,teens,Fiction,Plays
Shakespeare,William Shakespeare,Romeo and Juliet,liked,1595,teens,Fiction,Plays
Shakespeare,William Shakespeare,A Midsummer Night's Dream,liked,1595,teens,Fiction,Plays
Shelley,Mary Wollstonecraft Shelley,Frankenstein,liked,1818,20s,Fiction,Literature
Silver,Nate Silver,The Signal and the Noise,liked,2012,20s,Non-fiction,"Philosophy, Science, Statistics"
Simler,Kevin Simler,The Elephant in the Brain,liked,2017,20s,Non-fiction,"Psychology, Philosophy"
Smith,Huston Smith,The World's Religions,indifferent or forgotten,1958,teens,Non-fiction,Religion
Spong,John Shelby Spong,A New Christianity for a New World,liked,2001,teens,Non-fiction,Religion
Steinbeck,John Steinbeck,Of Mice and Men,liked,1937,20s,Fiction,Literature
Stephens-Davidowitz,Seth Stephens-Davidowitz,Everybody Lies,liked,2017,20s,Non-fiction,"Philosophy, Science"
Stephenson,Neal Stephenson,Snow Crash,disliked,1992,20s,Fiction,Science-Fiction
Strunk,William Strunk Jr.,The Elements of Style,liked,1918,20s,Non-fiction,"Writing, Self-Help"
Swift,Jonathan Swift,Gulliver's Travels,liked,1726,teens,Fiction,Literature
Taleb,Nassim Nicholas Taleb,The Black Swan,liked,2007,20s,Non-fiction,"Philosophy, Statistics"
Thaler,Richard H. Thaler,Nudge,indifferent or forgotten,2008,20s,Non-fiction,"Behavioral Economics, Psychology"
Thiel,Peter Thiel,Zero to One,loved,2014,20s,Non-fiction,"Philosophy, Business"
Thoreau,Henry David Thoreau,Walden,liked,1854,teens,Non-fiction,"Philosophy, Memoirs"
Tolkien,J.R.R. Tolkien,The Lord of the Rings,liked,1955,teens,Fiction,Fantasy
Tolkien,J.R.R. Tolkien,The Hobbit,liked,1937,childhood,Fiction,Fantasy
Tzu,Sun Tzu,The Art of War,liked,-500,20s,Non-fiction,Philosophy
Tzu,Lao Tzu,Tao Te Ching,liked,-600,20s,Non-fiction,Philosophy
Vance,Ashlee Vance,Elon Musk,liked,2015,20s,Non-fiction,Biographies
Verne,Jules Verne,Twenty Thousand Leagues Under the Sea,disliked,1869,teens,Fiction,Science-Fiction
Voltaire,Voltaire,Candide,liked,1759,teens,Fiction,"Parables, Philosophy, Literature"
Vonnegut,Kurt Vonnegut Jr.,"God Bless You, Mr. Rosewater",liked,1965,teens,Fiction,Literature
Vonnegut,Kurt Vonnegut Jr.,Slaughterhouse-Five,liked,1969,20s,Fiction,Literature
Voss,Chris Voss,Never Split the Difference,liked,2016,20s,Non-fiction,"Self-Help, Business"
Wallace,David Foster Wallace,Oblivion,loved,2004,20s,Fiction,Literature
Wallace,David Foster Wallace,Infinite Jest,loved,1996,20s,Fiction,"Literature, Short Stories"
Wallace,David Foster Wallace,Both Flesh and Not: Essays,loved,2012,20s,Non-fiction,Essays
Watterson,Bill Watterson,Calvin and Hobbes,loved,1985-1995,childhood,Fiction,Comics
Wells,H.G. Wells,The Island of Doctor Moreau,indifferent or forgotten,1896,20s,Fiction,Science-Fiction
Westover,Tara Westover,Educated,loved,2018,20s,Non-fiction,Memoirs
Wickham,Hadley Wickham,Advanced R,loved,2014,20s,Non-fiction,Computer Science & Programming
Wiesel,Elie Wiesel,Night,indifferent or forgotten,1956,20s,Fiction,Literature
Wilde,Oscar Wilde,The Picture of Dorian Gray,liked,1890,20s,Fiction,Literature
Wilson,Robert Charles Wilson,Spin,liked,2005,teens,Fiction,Science-Fiction
Woolf,Virginia Woolf,Mrs. Dalloway,liked,1925,20s,Fiction,Literature
Wright,Ronald Wright,A Short History of Progress,indifferent or forgotten,2004,teens,Non-fiction,"Philosophy, History"
Wyndham,John Wyndham,The Chrysalids,liked,1955,teens,Fiction,Literature
Yudkowsky,Eliezer Yudkowsky,Inadequate Equilibria,liked,2017,20s,Non-fiction,Philosophy
Yudkowsky,Eliezer Yudkowsky,Rationality From AI to Zombies,loved,2015,20s,Non-fiction,Philosophy
Yudkowsky,Eliezer Yudkowsky,Harry Potter and the Methods of Rationality,loved,2015,20s,Fiction,Fantasy
