author_surname,author,title,publication_year,rating,period_of_my_life,genre,subgenres
Simler & Hanson,Kevin Simler & Robin Hanson,The Elephant in the Brain,2017,liked,20s,Non-Fiction,"Psychology, Philosophy"
Smith,Huston Smith,The World's Religions,1958,indifferent or forgotten,teens,Non-Fiction,Religion
Spong,John Shelby Spong,A New Christianity for a New World,2001,liked,teens,Non-Fiction,Religion
Steinbeck,John Steinbeck,Of Mice and Men,1937,liked,20s,Fiction,Literature
Stephens-Davidowitz,Seth Stephens-Davidowitz,Everybody Lies,2017,liked,20s,Non-Fiction,"Philosophy, Science"
Stephenson,Neal Stephenson,Snow Crash,1992,disliked,20s,Fiction,Science-Fiction
Strunk,William Strunk Jr.,The Elements of Style,1918,liked,20s,Non-Fiction,"Writing, Self-Help"
Swift,Jonathan Swift,Gulliver's Travels,1726,liked,teens,Fiction,Literature
Taleb,Nassim Nicholas Taleb,The Black Swan,2007,liked,20s,Non-Fiction,"Philosophy, Statistics"
Thaler,Richard H. Thaler,Nudge,2008,indifferent or forgotten,20s,Non-Fiction,"Behavioral Economics, Psychology"
Thiel,Peter Thiel,Zero to One,2014,loved,20s,Non-Fiction,"Philosophy, Business"
Thoreau,Henry David Thoreau,Walden,1854,liked,teens,Non-Fiction,"Philosophy, Memoirs"
Tolkien,J.R.R. Tolkien,The Lord of the Rings,1955,liked,teens,Fiction,Fantasy
Tolkien,J.R.R. Tolkien,The Hobbit,1937,liked,childhood,Fiction,Fantasy
Tzu,Sun Tzu,The Art of War,-500,liked,20s,Non-Fiction,Philosophy
Tzu,Lao Tzu,Tao Te Ching,-600,liked,20s,Non-Fiction,Philosophy
Vance,Ashlee Vance,Elon Musk,2015,liked,20s,Non-Fiction,Biographies
Verne,Jules Verne,Twenty Thousand Leagues Under the Sea,1869,disliked,teens,Fiction,Science-Fiction
Voltaire,Voltaire,Candide,1759,liked,teens,Fiction,"Parables, Philosophy, Literature"
Vonnegut,Kurt Vonnegut Jr.,Cat's Cradle,1963,liked,20s,Fiction,Literature
Vonnegut,Kurt Vonnegut Jr.,"God Bless You, Mr. Rosewater",1965,liked,teens,Fiction,Literature
Vonnegut,Kurt Vonnegut Jr.,Slaughterhouse-Five,1969,liked,20s,Fiction,Literature
Voss,Chris Voss,Never Split the Difference,2016,liked,20s,Non-Fiction,"Self-Help, Business"
Wallace,David Foster Wallace,Oblivion,2004,loved,20s,Fiction,"Literature, Short Stories"
Wallace,David Foster Wallace,Infinite Jest,1996,loved,20s,Fiction,Literature
Wallace,David Foster Wallace,Both Flesh and Not: Essays,2012,loved,20s,Non-Fiction,Essays
Watterson,Bill Watterson,Calvin and Hobbes,1985-1995,loved,childhood,Fiction,Comics
Wells,H.G. Wells,The Island of Doctor Moreau,1896,indifferent or forgotten,20s,Fiction,Science-Fiction
Westover,Tara Westover,Educated,2018,loved,20s,Non-Fiction,Memoirs
Wickham,Hadley Wickham,Advanced R,2014,loved,20s,Non-Fiction,Computer Science & Programming
Wiesel,Elie Wiesel,Night,1956,indifferent or forgotten,20s,Fiction,Literature
Wilde,Oscar Wilde,The Picture of Dorian Gray,1890,liked,20s,Fiction,Literature
Wilson,Robert Charles Wilson,Spin,2005,liked,teens,Fiction,Science-Fiction
Woolf,Virginia Woolf,Mrs. Dalloway,1925,liked,20s,Fiction,Literature
Wright,Ronald Wright,A Short History of Progress,2004,indifferent or forgotten,teens,Non-Fiction,"Philosophy, History"
Wyndham,John Wyndham,The Chrysalids,1955,liked,teens,Fiction,Literature
Yudkowsky,Eliezer Yudkowsky,Inadequate Equilibria,2017,liked,20s,Non-Fiction,Philosophy
Yudkowsky,Eliezer Yudkowsky,Rationality From AI to Zombies,2015,loved,20s,Non-Fiction,Philosophy
Yudkowsky,Eliezer Yudkowsky,Harry Potter and the Methods of Rationality,2015,loved,20s,Fiction,Fantasy
O'Shaughnessy,Patrick O'Shaughnessy,Millennial Money,2014,liked,20s,Non-Fiction,Personal Finance
