creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Haidt,Jonathan Haidt,The Righteous Mind,Book,2012,Loved,20s,"{Non-Fiction},{Psychology}",/haidt-righteous-mind/
Haidt,Jonathan Haidt,The Happiness Hypothesis,Book,2005,Loved,20s,"{Non-Fiction},{Psychology}",
Harari,Yuval Noah Harari,Homo Deus,Book,2017,Disliked,20s,"{Non-Fiction},{Philosophy}",
Hargrove,Todd Hargrove,Playing With Movement,Book,2014,Liked,In the past year,"{Non-Fiction},{Self-Help}, Exercise",
Harris,Judith Rich Harris,The Nurture Assumption,Book,1998,Liked,20s,"{Non-Fiction},{Science}",
Harris,Sam Harris,Free Will,Book,2012,Loved,20s,"{Non-Fiction},{Philosophy}",/harris-free-will/
Harris,Sam Harris,Waking Up,Book,2014,Loved,20s,"{Non-Fiction},{Philosophy},{Religion}",
Hawley,Noah Hawley,Before the Fall,Book,2016,Loved,20s,"{Fiction},{Literature}",
Hemingway,Ernest Hemingway,The Old Man and the Sea,Book,1952,Indifferent,Teens,"{Fiction},{Literature}",
Herbert,Frank Herbert,Dune,Book,1965,Indifferent,Teens,"{Fiction},{Science-Fiction}",
Hesse,Hermann Hesse,Siddhartha,Book,1922,Liked,Teens,"{Fiction},{Parables},{Literature}",
Hill,Lawrence Hill,The Book of Negroes,Book,2007,Liked,Teens,"{Fiction},{Literature},{Historical Fiction}",
Hinton,S.E. Hinton,The Outsiders,Book,1967,Liked,Teens,"{Fiction},{Literature}",
Hofstadter,Douglas R. Hofstadter,"Gödel, Escher, Bach",Book,1979,Loved,20s,"{Non-Fiction},{Philosophy}",/hofstadter-godel-escher-bach/
Holt,Jim Holt,Why Does the World Exist?,Book,2011,Liked,Teens,"{Non-Fiction},{Philosophy}",
Homer,Homer,The Iliad,Book,-750,Liked,Teens,"{Fiction},{Literature}",
Homer,Homer,The Odyssey,Book,-700,Liked,Teens,"{Fiction},{Literature}",
Irving,John Irving,A Prayer for Owen Meany,Book,1989,Loved,20s,"{Fiction},{Literature}",
Ishiguro,Kazuo Ishiguro,Never Let Me Go,Book,2005,Mixed feelings,20s,"{Fiction},{Literature}",
Jacobs,Alan Jacobs,The Pleasures of Reading in an Age of Distraction,Book,2011,Liked,In the past year,"{Non-Fiction},{Philosophy},{Self-Help}",
James et al.,"Gareth James, Daniela Witten, Trevor Hastie and Robert Tibshirani",An Introduction to Statistical Learning,Book,2017,Liked,20s,"{Non-Fiction},{Statistics},{Computer Science & Programming},{Textbooks}",
Jemisin,N.K. Jemisin,The Fifth Season,Book,2015,Mixed feelings,In the past year,"{Fiction},{Fantasy}",
Johnstone,Keith Johnstone,Impro,Book,1979,Liked,20s,"{Non-Fiction},Philsosophy,{Self-Help}",
Jones,Lloyd Jones,Mister Pip,Book,2006,Liked,20s,"{Fiction},{Literature}",
Jordan,Robert Jordan,The Wheel of Time 1-3,Book,1990,Liked,Teens,"{Fiction},{Fantasy}",
Joyce,James Joyce,Araby,Book,1914,Loved,20s,"{Fiction},{Literature},{Short Stories}",
Joyce,James Joyce,The Dead,Book,1914,Loved,20s,"{Fiction},{Literature},{Short Stories}",
Kabat-Zinn,Jon Kabat-Zinn,Full Catastrophe Living,Book,1990,Indifferent,20s,"{Non-Fiction},{Philosophy}",
Kadare,Ismail Kadare,Broken April,Book,1978,Liked,Teens,"{Fiction},{Literature}",
Kafka,Franz Kafka,The Metamorphosis,Book,1915,Liked,20s,"{Fiction},{Literature}",
Kahneman,Daniel Kahneman,"Thinking, Fast and Slow",Book,2011,Liked,20s,"{Non-Fiction},{Psychology},{Science}",
Kalanithi,Paul Kalanithi,When Breath Becomes Air,Book,2016,Disliked,20s,"{Non-Fiction},{Memoirs}",
Kaufman,Josh Kaufman,The Personal MBA,Book,2010,Liked,20s,"{Non-Fiction},{Self-Help},{Business}",
Kay,Guy Gavriel Kay,The Fionavar Tapestry,Book,1986,Liked,Teens,"{Fiction},{Fantasy}",
Kay,Guy Gavriel Kay,Ysabel,Book,2007,Liked,Teens,"{Fiction},{Fantasy}",
Keyes,Daniel Keyes,Flowers for Algernon,Book,1966,Liked,20s,"{Fiction},{Science-Fiction}",
King,Stephen King,On Writing,Book,2000,Loved,20s,"{Non-Fiction},{Memoirs},{Writing}",
Kleist,Heinrich von Kleist,The Marquise of O,Book,1808,Liked,20s,"{Fiction},{Literature}",
Larson,Gary Larson,The Far Side Gallery,Book,1984,Liked,Teens,"{Fiction},{Comics}",
Le Guin,Ursula K. Le Guin,A Wizard of Earthsea,Book,1968,Liked,20s,"{Fiction},{Fantasy}",
Le Guin,Ursula K. Le Guin,The Ones Who Walk Away from Omelas,Book,1973,Liked,20s,"{Fiction},{Science-Fiction}",
Le Guin,Ursula K. Le Guin,The Left Hand of Darkness,Book,1969,Liked,20s,"{Fiction},{Science-Fiction}",
Lee,Harper Lee,To Kill a Mockingbird,Book,1960,Liked,Teens,"{Fiction},{Literature}",
Levi,Primo Levi,Survival in Auschwitz,Book,1947,Liked,20s,"{Non-Fiction},{Memoirs},{History}",
Lewis,C.S. Lewis,The Chronicles of Narnia,Book,1956,Liked,Childhood,"{Fiction},{Fantasy}",
Lightman,Alan Lightman,Einstein's Dreams,Book,1992,Liked,Teens,"{Fiction},{Science-Fiction}",
MacDonald,George MacDonald,The Princess and the Goblin,Book,1872,Indifferent,20s,"{Fiction},{Fantasy}",
Martel,Yann Martel,Life of Pi,Book,2001,Loved,Teens,"{Fiction},{Literature}",
McCarthy,Cormac McCarthy,The Road,Book,2006,Loved,20s,"{Fiction},{Literature},{Westerns}",
McGrayne,Sharon Bertsch McGrayne,The Theory That Would Not Die,Book,2011,Disliked,20s,"{Non-Fiction},{History},{Science},{Statistics}",
McMurtry,Larry McMurtry,Lonesome Dove,Book,1985,Loved,In the past year,"{Fiction},{Westerns},{Literature}",/mcmurtry-lonesome-dove/
Medina,John Medina,Brain Rules,Book,2008,Liked,20s,"{Non-Fiction},{Science},{Psychology},{Learning},{Self-Help}",
Miller,Chanel Miller,Know My Name,Book,2019,Loved,In the past year,"{Non-Fiction},{Memoirs}",
Miller,Arthur  Miller,The Crucible,Book,1953,Indifferent,Teens,"{Fiction},{Plays}",
Millhauser,Steven Millhauser,Martin Dressler,Book,1996,Liked,In the past year,"{Fiction},{Literature}",
Morrison,Toni Morrison,Beloved,Book,1987,Liked,20s,"{Fiction},{Literature}",
Moss,Stephen Moss,The Rookie,Book,2016,Liked,20s,"{Non-Fiction},{Memoirs}",
Murakami,Haruki Murakami,Sputnik Sweetheart,Book,1999,Disliked,In the past year,"{Fiction},{Literature}",
Márquez,Gabriel García Márquez,One Hundred Years of Solitude,Book,1967,Liked,20s,"{Fiction},{Literature}",
Nicholson,William Nicholson,The Wind on Fire Trilogy,Book,2002,Liked,Childhood,"{Fiction},{Fantasy}",
Nielsen,Michael Nielsen,Reinventing Discovery,Book,2011,Loved,20s,"{Non-Fiction},{Philosophy},{Science}",
Nimmo,Jenny Nimmo,Children of the Red King 1-5,Book,2002-2006,Loved,Childhood,"{Fiction},{Fantasy}",
O'Shaughnessy,Patrick O'Shaughnessy,Millennial Money,Book,2014,Liked,20s,"{Non-Fiction},{Personal Finance}",
Oakley,Barbara Oakley,A Mind for Numbers,Book,2014,Liked,20s,"{Non-Fiction},{Learning},{Self-Help}",
Olson,Randy Olson,"Houston, We Have a Narrative",Book,2015,Liked,20s,"{Non-Fiction},{Writing},{Self-Help},{Science}",
Oppel,Kenneth Oppel,Silverwing,Book,1997,Liked,Childhood,"{Fiction},{Literature}",
Orwell,George Orwell,Animal Farm,Book,1945,Liked,20s,"{Fiction},{Literature}",
Orwell,George Orwell,1984,Book,1949,Liked,20s,"{Fiction},{Literature}",
Palahniuk,Chuck Palahniuk,Fight Club,Book,1996,Liked,Teens,"{Fiction},{Literature}",
Paolini,Christopher Paolini,The Inheritance Cycle 1-3,Book,2002,Liked,Teens,"{Fiction},{Fantasy}",
Patterson,James Patterson,Maximum Ride,Book,2005,Liked,Teens,"{Fiction},{Science-Fiction}",
Paulsen,Gary Paulsen,Brian's Saga 1-2,Book,1996,Liked,Teens,"{Fiction},{Literature}",
Pinker,Steven Pinker,How the Mind Works,Book,1997,Loved,20s,"{Non-Fiction},{Psychology},{Science}",
Pinker,Steven Pinker,The Better Angels of Our Nature,Book,2010,Liked,20s,"{Non-Fiction},{History}",
Pinker,Steven Pinker,The Language Instinct,Book,1994,Loved,20s,"{Non-Fiction},{Psychology},{Science}",
Pinker,Steven Pinker,The Sense of Style,Book,2014,Loved,20s,"{Non-Fiction},{Writing},{Self-Help}",
Pullman,Philip Pullman,His Dark Materials,Book,2000,Loved,Teens,"{Fiction},{Fantasy}",
Ritchie,Stuart Ritchie,Intelligence,Book,2015,Liked,20s,"{Non-Fiction},{Psychology},{Science}",
Robbins,Anthony Robbins,MONEY Master the Game,Book,2014,Liked,20s,"{Non-Fiction},{Self-Help},{Personal Finance}",
Rowling,J.K. Rowling,Harry Potter 1-7,Book,2007,Loved,Childhood,"{Fiction},{Fantasy}",
Rushdie,Salman Rushdie,The Satanic Verses,Book,1988,Liked,Teens,"{Fiction},{Literature}",
Sachar,Louis Sachar,Holes,Book,1998,Liked,Childhood,"{Fiction},{Literature}",
Saint-Exupéry,Antoine de Saint-Exupéry,The Little Prince,Book,1943,Liked,Teens,"{Fiction},{Literature}",
Salinger,J.D. Salinger,The Catcher in the Rye,Book,1951,Liked,Teens,"{Fiction},{Literature}",
Sapolsky,Robert M. Sapolsky,Behave,Book,2017,Disliked,20s,"{Non-Fiction},{Science},{Psychology}",
Schneier,Bruce Schneier,Data and Goliath,Book,2015,Liked,20s,"{Non-Fiction},{Philosophy},{Science},{Computer Science & Programming}",
Shakespeare,William Shakespeare,Hamlet,Book,1603,Liked,Teens,"{Fiction},{Plays}",
Shakespeare,William Shakespeare,Romeo and Juliet,Book,1595,Liked,Teens,"{Fiction},{Plays}",
Shakespeare,William Shakespeare,A Midsummer Night's Dream,Book,1595,Liked,Teens,"{Fiction},{Plays}",
Shelley,Mary Wollstonecraft Shelley,Frankenstein,Book,1818,Liked,20s,"{Fiction},{Literature}",
Silver,Nate Silver,The Signal and the Noise,Book,2012,Liked,20s,"{Non-Fiction},{Philosophy},{Science},{Statistics}",
Simler & Hanson,Kevin Simler & Robin Hanson,The Elephant in the Brain,Book,2017,Liked,20s,"{Non-Fiction},{Psychology},{Philosophy}",
Smith,Huston Smith,The World's Religions,Book,1958,Indifferent,Teens,"{Non-Fiction},{Religion}",
Spong,John Shelby Spong,A New Christianity for a New World,Book,2001,Liked,Teens,"{Non-Fiction},{Religion}",
Steinbeck,John Steinbeck,Of Mice and Men,Book,1937,Liked,20s,"{Fiction},{Literature}",
Stephens-Davidowitz,Seth Stephens-Davidowitz,Everybody Lies,Book,2017,Liked,20s,"{Non-Fiction},{Philosophy},{Science}",
Stephenson,Neal Stephenson,Snow Crash,Book,1992,Disliked,20s,"{Fiction},{Science-Fiction}",
Strunk,William Strunk Jr.,The Elements of Style,Book,1918,Liked,20s,"{Non-Fiction},{Writing},{Self-Help}",
Swift,Jonathan Swift,Gulliver's Travels,Book,1726,Liked,Teens,"{Fiction},{Literature}",
Taleb,Nassim Nicholas Taleb,The Black Swan,Book,2007,Liked,20s,"{Non-Fiction},{Philosophy},{Statistics}",
Thaler,Richard H. Thaler,Nudge,Book,2008,Liked,20s,"{Non-Fiction},{Psychology}",
Thiel,Peter Thiel,Zero to One,Book,2014,Liked,20s,"{Non-Fiction},{Philosophy},{Business}",/thiel-zero-to-one/
Thoreau,Henry David Thoreau,Walden,Book,1854,Liked,Teens,"{Non-Fiction},{Philosophy},{Memoirs}",
Tolkien,J.R.R. Tolkien,The Lord of the Rings,Book,1955,Liked,Teens,"{Fiction},{Fantasy}",
Tolkien,J.R.R. Tolkien,The Hobbit,Book,1937,Liked,Childhood,"{Fiction},{Fantasy}",
Tsatsouline,Pavel Tsatsouline,Kettlebell Simple & Sinister,Book,2019,Liked,20s,{Non-Fiction}{Exercise},
Tzu,Sun Tzu,The Art of War,Book,-500,Liked,20s,"{Non-Fiction},{Philosophy}",
Tzu,Lao Tzu,Tao Te Ching,Book,-600,Liked,20s,"{Non-Fiction},{Philosophy}",
Vance,Ashlee Vance,Elon Musk,Book,2015,Liked,20s,"{Non-Fiction},{Biographies}",
Verne,Jules Verne,Twenty Thousand Leagues Under the Sea,Book,1869,Disliked,Teens,"{Fiction},{Science-Fiction}",
Voltaire,Voltaire,Candide,Book,1759,Liked,Teens,"{Fiction},{Parables},{Philosophy},{Literature}",
Vonnegut,Kurt Vonnegut Jr.,Cat's Cradle,Book,1963,Liked,20s,"{Fiction},{Literature}",
Vonnegut,Kurt Vonnegut Jr.,"God Bless You, Mr. Rosewater",Book,1965,Liked,Teens,"{Fiction},{Literature}",
Vonnegut,Kurt Vonnegut Jr.,Slaughterhouse-Five,Book,1969,Liked,20s,"{Fiction},{Literature}",
Voss,Chris Voss,Never Split the Difference,Book,2016,Liked,20s,"{Non-Fiction},{Self-Help},{Business}",
Wallace,David Foster Wallace,Oblivion,Book,2004,Loved,20s,"{Fiction},{Literature},{Short Stories}",
Wallace,David Foster Wallace,Infinite Jest,Book,1996,Loved,20s,"{Fiction},{Literature}",
Wallace,David Foster Wallace,Both Flesh and Not: Essays,Book,2012,Loved,20s,"{Non-Fiction},{Essays}",
Watterson,Bill Watterson,Calvin and Hobbes,Book,1985-1995,Loved,Childhood,"{Fiction},{Comics}",
Weir,Andy Weir,Artemis,Book,2017,Indifferent,20s,"{Fiction},{Science-Fiction}",
Wells,H.G. Wells,The Island of Doctor Moreau,Book,1896,Indifferent,20s,"{Fiction},{Science-Fiction}",
Westover,Tara Westover,Educated,Book,2018,Loved,20s,"{Non-Fiction},{Memoirs}",
Wickham,Hadley Wickham,Advanced R,Book,2014,Loved,20s,"{Non-Fiction},{Computer Science & Programming},{Textbooks}",
Wiesel,Elie Wiesel,Night,Book,1956,Indifferent,20s,"{Fiction},{Literature}",
