creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Good Lovelies,Good Lovelies,Let the Rain Fall,Album,2011,Loved,20s,{Folk},
Inlet Sound,Inlet Sound,The Romantics,Album,2012,Loved,Teens,{Folk},
Jack Johnson,Jack Johnson,In Between Dreams,Album,2005,Loved,Teens,{Folk},
James Taylor,James Taylor,October Road,Album,2002,Loved,20s,{Folk},
James Taylor,James Taylor,Before This World,Album,2015,Loved,20s,{Folk},
James Taylor,James Taylor,Hourglass,Album,1997,Loved,Childhood,{Folk},
James Taylor,James Taylor,Never Die Young,Album,1988,Loved,Childhood,{Folk},
James Taylor,James Taylor,JT,Album,1977,Loved,Childhood,{Folk},
James Taylor,James Taylor,Gorilla,Album,1975,Loved,Childhood,{Folk},
James Taylor,James Taylor,Sweet Baby James,Album,1970,Loved,Childhood,{Folk},
John Mayer,John Mayer,The Search for Everything,Album,2017,Loved,20s,{Rock},
John Mayer,John Mayer,Room for Squares,Album,2001,Loved,Teens,{Rock},
John Williams,John Williams,Harry Potter and the Sorcer's Stone Original Motion Picture Soundtrack,Album,2001,Loved,Childhood,"{Classical},{Soundtrack}",
Kacey Musgraves,Kacey Musgraves,Golden Hour,Album,2018,Loved,20s,"{Folk},{Country}",
